'	lex112884.1_ἒ
'ἐπιμύει	
(132)	
(Hrd	
(Men	
(St	
(abbrev	
(abbreviation)	
(cf	
(fr	(p	
(sc	
(symbol)	
(Β	
(Γ	
(Ι	
(Ξ	
(πό)λις	
(τ	
(χ	392)	
γαμῆσαι	lex15783.1_γαμέωγαρ	
γαργαρίζειν	lex15847.1_γαργαρίζω
γαργαρεῶνος	lex15848.1_γαργαρεών
γαστρός	lex15856.1_γαστήρ
γαστρὶ	lex15856.1_γαστήρ
γαστρὸς	lex15856.1_γαστήρ
γατός	
γαυριὰν	
γαῖα	
γαῖαν	lex15908.1_γαῖαγαῖης	
γδοῦπον	
γε	lex15916.1_γε
γείνατο	lex15918.1_γείνομαι
γείνεαι	lex15918.1_γείνομαι
γείνομαι	lex15918.1_γείνομαι
γεγένηται	lex15628.1_γίγνομαι
γεγέννηται	lex16074.1_γεννάω
γεγαμηκότος	lex15783.1_γαμέω
γεγαμημένην	lex15783.1_γαμέωγεγαμηται	
γεγενεαλόγηκεν	lex16026.1_γενεαλογέω
γεγενηκότα	
γεγενημένη	lex15628.1_γίγνομαι
γεγενημένην	lex15628.1_γίγνομαι
γεγενημένης	lex15628.1_γίγνομαι
γεγενημένον	lex15628.1_γίγνομαι
γεγενημένους	lex15628.1_γίγνομαι
γεγεννήμενον	
γεγενῆσθαι	lex15628.1_γίγνομαιγεγηθότι	lex16275.1_γηθέω
γεγονέναι	lex15628.1_γίγνομαι
γεγονεν	
γεγονος	
γεγονοσ	
γεγονοτ	
γεγονυίας	lex15628.1_γίγνομαι
γεγονυιας	
γεγονυίας	lex15628.1_γίγνομαι
γεγονυῖα	lex15628.1_γίγνομαιγεγονυῖαν	lex15628.1_γίγνομαι
γεγονός	lex15628.1_γίγνομαι
γεγονότας	lex15628.1_γίγνομαι
γεγονότος	lex15628.1_γίγνομαι
γεγονότων	lex15628.1_γίγνομαι
γεγονέναι	lex15628.1_γίγνομαι
γεγονὸς	lex15628.1_γίγνομαι
γεγονός	lex15628.1_γίγνομαι
γεγονότ	
γεγονότας	lex15628.1_γίγνομαιγεγονότι	lex15628.1_γίγνομαι
γεγονότος	lex15628.1_γίγνομαι
γεγράφθαι	lex16845.1_γράφω
γεγραμμένοι	lex16845.1_γράφω
γεγραμμένου	lex16845.1_γράφω
γεγραμμενου	
γεγραμμένον	lex16845.1_γράφω
γεγράψεται	lex16845.1_γράφω
γεγυμνωμένον	lex17114.1_γυμνόω
γεγωνέμεν	lex15928.1_γεγωνέω lex15559.1_γέγωναγεγωνεμεν	
γεγόνασιν	lex15628.1_γίγνομαι
γεγύμνηται	
γεγόνασιν	lex15628.1_γίγνομαι
γει	
γεινεται	
γειτνιῶντα	lex15954.1_γειτνιάω lex15953.1_γειτνιάζω
γελάση	lex15563.1_γέλασις
γελοίως	lex15569.1_γέλοιος
γελοίϊον	lex15569.1_γέλοιοςΑἰσήποι	
Αἰσήποιο	lex209.1_Αἴσηπος
Αἰσχρίων	lex144.1_Αἰσχρίων
Αἰσχρίωνι	lex144.1_Αἰσχρίων
Αἰσχυλος	
Αἰσχύ	
Αἰσχύλος	lex150.1_Αἰσχύλος
Αἰσχύλῳ	lex150.1_Αἰσχύλος
Αἰσχύλος	lex150.1_Αἰσχύλος
Αἰσχύλῳ	lex150.1_Αἰσχύλοςγελοιοπ	
γελοιοποιός	
γελοιως	
γελοιότατος	lex15569.1_γέλοιος
γελοιώτ	
γελοιώτατα	
γελοία	lex15569.1_γέλοιος lex15990.1_γελοιάω lex15972.1_γελάω
γελοίως	lex15569.1_γέλοιος
γελοῖοι	lex15569.1_γέλοιος
γελοῖον	lex15569.1_γέλοιοςγελοῖος	lex15569.1_γέλοιος
γελως	
γελωτα	
γελωτι	
γελωτοποιεῖν	lex15999.1_γελωτοποιέω
γελωτος	
γελᾶν	lex15972.1_γελάω
γελᾷ	lex15972.1_γελάω
γεν	
γενέεσθαι	γενέσεις	lex15580.1_γένεσις
γενέσεως	lex15580.1_γένεσις
γενέσθαι	lex15628.1_γίγνομαι
γενέσθω	lex15628.1_γίγνομαι
γενέτῃσιν	lex16017.1_γενέτης
γενήσεσθαι	lex15628.1_γίγνομαι
γενήσεται	lex15628.1_γίγνομαι
γενήση	
γενήσωμαι	
γενήται	γεναιώτατος	
γενγηθειό	
γενεήν	lex16022.1_γενεά
γενεαλογία	lex16027.1_γενεαλογία
γενεαλογεῖ	lex16026.1_γενεαλογέω
γενεθλίων	lex16014.1_γενέθλιος
γενεσθαι	
γενευς	
γενεὰς	lex16022.1_γενεά
γενεὴ	lex16022.1_γενεάγενεᾶς	lex16022.1_γενεά
γενεῆφιν	lex16022.1_γενεά
γενεῇ	lex16022.1_γενεά
γενησετ	
γενησεται	
γενησόμενος	lex15628.1_γίγνομαι
γενησόμενα	lex15628.1_γίγνομαι
γενητ	
γενηται	
γενικ	γενικήν	lex16070.1_γενικός
γενικην	
γενικὴ	lex16070.1_γενικός
γενικὴν	lex16070.1_γενικός
γενικήν	lex16070.1_γενικός
γενικὸν	lex16070.1_γενικός
γενικῆ	
γενικῆς	lex16070.1_γενικός
γενικῇ	lex16070.1_γενικός
γενικῶν	lex16070.1_γενικόςγενικῶς	lex16070.1_γενικός
γεννήσασα	lex16074.1_γεννάω
γεννήσεις	lex16074.1_γεννάω lex15586.1_γέννησις
γενναίους	lex16083.1_γενναῖος
γενναίως	lex16083.1_γενναῖος
γενναιος	
γενναιοτάτων	lex16083.1_γενναῖος
γενναιότατος	lex16083.1_γενναῖος
γενναίου	lex16083.1_γενναῖος
γενναῖον	lex16083.1_γενναῖοςγενναῖος	lex16083.1_γενναῖος
γεννεᾶ	
γεννηθέντα	lex16074.1_γεννάω
γεννηθέντος	lex16074.1_γεννάω
γεννηθέντων	lex16074.1_γεννάω
γεννηθείσα	lex16074.1_γεννάω
γεννηθείσης	lex16074.1_γεννάω
γεννηθεὶσαν	
γεννηθεῖσα	lex16074.1_γεννάω
γεννηθεῖσαν	lex16074.1_γεννάωγεννηθέντα	lex16074.1_γεννάω
γεννηθῆναι	lex16074.1_γεννάω
γεννηθῇ	lex16074.1_γεννάω
γεννητικά	lex16090.1_γεννητικός
γεννομένων	
γεννωμένη	lex16074.1_γεννάω
γεννωμένοις	lex16074.1_γεννάω
γεννώμενα	lex16074.1_γεννάω
γεννήσας	lex16074.1_γεννάω
γεννόμενα	γεννώμενα	lex16074.1_γεννάω
γεννώμενος	lex16074.1_γεννάω
γεννᾶται	lex16074.1_γεννάω
γεννᾷ	lex16074.1_γεννάω
γεννῶσα	lex16074.1_γεννάω
γεννῶσαν	lex16074.1_γεννάω
γενοίατο	lex15628.1_γίγνομαι
γενομένας	lex15628.1_γίγνομαι
γενομένη	lex15628.1_γίγνομαι
γενομένην	lex15628.1_γίγνομαιΑἰσχῦλος	
Αἰσύλῃ	
Αἰτίοις	
Αἰτίω	lex12270.1_αἴτιος lex12011.1_αἰτέω
Αἰτωλίαν	lex159.1_Αἰτωλίη lex158.1_Αἰτωλία lex164.1_Αἰτώλιος
Αἰτωλίας	lex164.1_Αἰτώλιος lex159.1_Αἰτωλίη lex158.1_Αἰτωλία
Αἰτωλοι	
Αἰτωλοῖς	lex162.1_Αἰτωλοί lex163.1_Αἰτωλός
Αἰόλου	lex205.1_Αἴολος lex12073.1_αἰόλος
Αἰάντ	γενομένης	lex15628.1_γίγνομαι
γενομένου	lex15628.1_γίγνομαι
γενομένους	lex15628.1_γίγνομαι
γενομένων	lex15628.1_γίγνομαι
γενομένῳ	lex15628.1_γίγνομαι
γενομε	
γενομενης	
γενομενου	
γενομένη	lex15628.1_γίγνομαι
γενομένης	lex15628.1_γίγνομαιγενομένου	lex15628.1_γίγνομαι
γενος	
γενωμένου	
γενωνται	
γενόμενα	lex15628.1_γίγνομαι
γενόμεναι	lex15628.1_γίγνομαι
γενόμενοι	lex15628.1_γίγνομαι
γενόμενον	lex15628.1_γίγνομαι
γενόμενος	lex15628.1_γίγνομαι
γενόμενου	γενώμενος	
γενέσεως	lex15580.1_γένεσις
γενέσθαι	lex15628.1_γίγνομαι
γενέσθω	lex15628.1_γίγνομαι
γενόμενοι	lex15628.1_γίγνομαι
γενόμενον	lex15628.1_γίγνομαι
γενόμενος	lex15628.1_γίγνομαι
γενώμενον	
γενῶν	lex16020.1_γενή lex15587.1_γένος
γεραίτερον	lex16113.1_γεραιόςγεραιέ	lex16113.1_γεραιός
γεραιας	
γεραιος	
γεραιράς	
γεραιός	lex16113.1_γεραιός
γεραιὰς	lex16113.1_γεραιός
γεραιὸν	lex16113.1_γεραιός
γεραιὸς	lex16113.1_γεραιός
γεραιός	lex16113.1_γεραιός
γεραρὸν	lex16131.1_γεραρόςγερας	
γερασμίους	lex16109.1_γεράσμιος
γεραωχοὺς	
γεραόχων	lex16135.1_γεραόχος
γερεσθαι	
γερηαιὰς	
γεροντικῆς	lex16158.1_γεροντικός
γεροντων	
γερούσιον	lex16171.1_γερούσιος
γερόντων	lex15605.1_γέρωνγεράνους	lex15595.1_γέρανος
γευστικῶς	lex16187.1_γευστικός
γεφύρας	lex15606.1_γέφυρα
γεφύρη	
γεφύρῃ	lex15606.1_γέφυρα
γεωργία	lex16229.1_γεωργία
γεωργοι	
γεωργὸς	lex16233.1_γεωργός
γεύασθαι	
γεύσασθαι	lex16249.1_γεύωγεώργια	lex16259.1_γεώργιον
γείνατ	
γείνατο	lex15918.1_γείνομαι
γεῖται	
γη	
γηγενεῖς	lex16273.1_γηγενής
γηθήσαι	lex16275.1_γηθέω
γηθήσει	lex16275.1_γηθέω
γην	
γηπεδα	γηράσας	lex16296.1_γηράω http://data.perseus.org/collections/_γηοριξ lex16295.1_γηράσκω
γηράσασαν	lex16295.1_γηράσκω lex16296.1_γηράω
γηράσει	lex16296.1_γηράω lex16295.1_γηράσκω
γηραιον	
γηραϊ	
γηρεϊ	
γης	
γιγάντων	lex15623.1_γίγας
γιγενεῖς	
γιγνομένον	γιγνομένῃ	lex15628.1_γίγνομαι
γιγνομένης	lex15628.1_γίγνομαι
γιγνόμα	
γιγνόμενα	lex15628.1_γίγνομαι
γινεται	
γινομένας	lex15628.1_γίγνομαι
γινομένη	lex15628.1_γίγνομαι
γινομένης	lex15628.1_γίγνομαι
γινομένου	lex15628.1_γίγνομαι
γινομένους	lex15628.1_γίγνομαιγινομε	
γινομενην	
γινομένην	lex15628.1_γίγνομαι
γινομένης	lex15628.1_γίγνομαι
γινομένου	lex15628.1_γίγνομαι
γινονται	
γινοντὰι	
γινωσκέτω	lex16343.1_γιγνώσκω
γινωσκομένων	lex16343.1_γιγνώσκω
γινόμενα	lex15628.1_γίγνομαιΑἱγεὺς	
Αἱσύμνηθεν	
Αἴαν	
Αἴαντ	
Αἴαντα	lex175.1_Αἴας
Αἴαντας	lex175.1_Αἴας
Αἴαντε	
Αἴαντες	lex175.1_Αἴας
Αἴαντι	lex175.1_Αἴας
Αἴαντος	lex175.1_Αἴαςγινόμενον	lex15628.1_γίγνομαι
γινόμενος	lex15628.1_γίγνομαι
γινώσκει	lex16343.1_γιγνώσκω
γινώσκειν	lex16343.1_γιγνώσκω
γινώσκεσθαι	lex16343.1_γιγνώσκω
γινώσκοντα	lex16343.1_γιγνώσκω
γινώσκων	lex16343.1_γιγνώσκω
γινόμεθ'	lex15628.1_γίγνομαι
γινόμενα	lex15628.1_γίγνομαι
γινόμενος	lex15628.1_γίγνομαιγινώσκων	lex16343.1_γιγνώσκω
γλήνεα	lex16598.1_γλῆνος
γλήνη	lex16361.1_γλήνη lex16598.1_γλῆνος
γλαυκὴ	lex16403.1_γλαυκός
γλαυκῶπιν	lex16413.1_γλαυκῶπις
γλαφυρόν	lex16418.1_γλαφυρός
γλαφυρῇ	lex16418.1_γλαφυρός
γλαφυρῇσιν	lex16418.1_γλαφυρός
γλαφυρῷ	lex16418.1_γλαφυρός
γλαύκα	lex16424.1_γλαύξγλουτὸν	lex16467.1_γλουτός
γλοῦτος	
γλυκέως	lex16524.1_γλυκύς
γλυκίω	lex16524.1_γλυκύς lex16583.1_γλύκιος
γλυκυτέρα	lex16524.1_γλυκύς
γλυκὺ	lex16524.1_γλυκύς
γλυκὺς	lex16524.1_γλυκύς
γλυφίδας	lex16540.1_γλυφίς
γλωσσογράφοι	lex16554.1_γλωσσογράφος
γλωσσογρφοι	γλωσσογράφοι	lex16554.1_γλωσσογράφος
γλώσσαις	lex16600.1_γλῶσσα
γλώσσης	lex16600.1_γλῶσσα
γλώτταις	lex16600.1_γλῶσσα
γλῶσσα	lex16600.1_γλῶσσα
γλῶσσαν	lex16600.1_γλῶσσα
γν	
γνήσιον	lex16609.1_γνήσιος
γναθμοῖο	lex16612.1_γναθμός
γνησίοις	lex16609.1_γνήσιοςγνησίους	lex16626.1_γνησιόω lex16609.1_γνήσιος
γνησιος	
γνοίη	lex16343.1_γιγνώσκω
γνοίῃ	
γνοὺς	lex16343.1_γιγνώσκω
γνούς	lex16343.1_γιγνώσκω
γνοῦς	
γνω	
γνωμικώτερον	lex16641.1_γνωμικός
γνωμικὸν	lex16641.1_γνωμικόςγνωμικῶς	lex16641.1_γνωμικός
γνωρήμων	
γνωρίσματ	
γνωρίσματα	lex16686.1_γνώρισμα
γνωριμώτερον	lex16684.1_γνώριμος
γνωρισμὸν	lex16658.1_γνωρισμός
γνωρίζεται	lex16656.1_γνωρίζω
γνωρίζων	lex16656.1_γνωρίζω
γνωσθεὶς	lex16343.1_γιγνώσκω
γνωτοῦ	lex16677.1_γνωτόςγνωτὸν	lex16677.1_γνωτός
γνωτὸς	lex16677.1_γνωτός
γνόντα	lex16343.1_γιγνώσκω
γνώμη	lex16682.1_γνώμη
γνώμην	lex16682.1_γνώμη
γνώμῃ	lex16682.1_γνώμη
γνώριμος	lex16684.1_γνώριμος
γνώσεται	lex16343.1_γιγνώσκω
γνώσομαι	lex16343.1_γιγνώσκω
γνάθον	lex16601.1_γνάθοςγνήσια	lex16609.1_γνήσιος
γνήσιον	lex16609.1_γνήσιος
γνώμνῃ	
γνώμῃ	lex16682.1_γνώμη
γνώσῃ	lex16343.1_γιγνώσκω lex16689.1_γνῶσις
γνῶμεν	lex16343.1_γιγνώσκω
γνῶναι	lex16343.1_γιγνώσκω
γνῶσι	lex16343.1_γιγνώσκω lex16689.1_γνῶσις
γνῶσιν	lex16689.1_γνῶσις lex16343.1_γιγνώσκω
γνῶσις	lex16689.1_γνῶσιςγοεροῦ	lex16724.1_γοερός
γον	
γονάτων	lex16754.1_γονάω lex17258.1_γόνυ
γονέας	lex16764.1_γονεύς
γονέων	lex16764.1_γονεύς lex16755.1_γονή lex16754.1_γονάω
γονίμῳ	lex17256.1_γόνιμος
γονεῖς	lex16764.1_γονεύς lex16754.1_γονάω
γονεῦσιν	lex16764.1_γονεύς
γονάτων	lex16754.1_γονάω lex17258.1_γόνυ
γονῆς	lex16755.1_γονή lex16754.1_γονάω lex16764.1_γονεύςγοργῷ	lex16800.1_γοργός
γουν	
γουνα	
γουναζέσθην	lex16811.1_γουνάζομαι
γουνοζόμαι	
γούνατα	lex17258.1_γόνυ
γούνων	lex17258.1_γόνυ
γοὖν	
γούνασι	lex17258.1_γόνυ
γούνασιν	lex17258.1_γόνυΑἴας	lex175.1_Αἴας lex12276.1_αἶα lex220.1_Αἶα
Αἴγειον	lex176.1_Αἴγειος
Αἴγιναν	lex182.1_Αἴγινα
Αἴγυπτον	lex188.1_Αἴγυπτος
Αἴγυπτος	lex188.1_Αἴγυπτος
Αἴγύπτον	lex188.1_Αἴγυπτος
Αἴθρα	lex12239.1_αἴθρη lex194.1_Αἴθρη
Αἴθραν	lex12239.1_αἴθρη lex194.1_Αἴθρη
Αἴθρας	lex194.1_Αἴθρη lex12239.1_αἴθρη
Αἴθρη	lex12239.1_αἴθρη lex194.1_Αἴθρηγούνεσσϊ	lex17258.1_γόνυ
γοῦν	lex16828.1_γοῦν
γοῦνα	lex17258.1_γόνυ
γρ	
γράγεται	
γράμμα	lex16834.1_γράμμα
γράμμασι	lex16834.1_γράμμα
γράφε	lex16845.1_γράφω
γράφει	lex16844.1_γράφος lex16845.1_γράφω
γράφει+	lex16844.1_γράφος lex16845.1_γράφωγράφειν	lex16845.1_γράφω
γράφεσθαι	lex16845.1_γράφω
γράφεται	lex16845.1_γράφω
γράφηται	lex16845.1_γράφω
γράφοιμεν	lex16845.1_γράφω
γράφομεν	lex16845.1_γράφω
γράφοντα	lex16845.1_γράφω
γράφοντας	lex16845.1_γράφω
γράφοντες	lex16845.1_γράφω
γράφοντος	lex16845.1_γράφωγράφουσι	
γράφουσιν	
γράφων	lex16845.1_γράφω
γράψαι	lex16845.1_γράφω
γράψαντα	lex16845.1_γράφω
γράψαντι	lex16845.1_γράφω
γράψεν	lex16845.1_γράφω
γραγεται	
γραμματικοὶ	lex16881.1_γραμματικός
γραμματικός	lex16881.1_γραμματικόςγραμματικῶν	lex16881.1_γραμματικός
γραμματικῷ	lex16881.1_γραμματικός
γραμματιστῶν	lex16883.1_γραμματιστής
γραπτέον	lex16915.1_γραπτέος
γραπτοῖς	lex16918.1_γραπτός
γραπτέον	lex16915.1_γραπτέος
γραφ	
γραφέσθω	lex16845.1_γράφω
γραφή	
γραφήν	lex16924.1_γραφής lex16923.1_γραφήγραφαι	
γραφει	
γραφειν	
γραφεις	
γραφεται	
γραφη	
γραφην	
γραφικὸν	lex16931.1_γραφικός
γραφικῶς	lex16931.1_γραφικός
γραφουσιν	γραφόμενον	lex16845.1_γράφω
γραφόμενος	lex16845.1_γράφω
γραφέται	
γραφὴ	
γραφὴν	lex16923.1_γραφή lex16924.1_γραφής
γραφή	
γραφήν	lex16924.1_γραφής lex16923.1_γραφή
γραφόμενον	lex16845.1_γράφω
γραφᾶς	
γραφῆ	lex16924.1_γραφήςγραφῆς	
γραφῇ	lex16845.1_γράφω lex16924.1_γραφής lex16923.1_γραφή lex16929.1_γραφεύς
γραῒ	lex16943.1_γραῦς
γραῖα	lex16940.1_γραῖα lex16941.1_γραῖος
γρονθω	
γράμμασι	lex16834.1_γράμμα
γράμμασιν	lex16834.1_γράμμα
γράμματα	lex16834.1_γράμμα
γράφει	lex16844.1_γράφος lex16845.1_γράφω
γράφειν	lex16845.1_γράφωγράφει⁚	
γράφεσθ	
γράφεσθαι	lex16845.1_γράφω
γράφετ	
γράφεται	lex16845.1_γράφω
γράφηται	lex16845.1_γράφω
γράφοντι	lex16845.1_γράφω
γράφουσι	
γράφουσιν	
γράφων	lex16845.1_γράφωγράψαι	lex16845.1_γράφω
γράψαντα	lex16845.1_γράφω
γυαλὸν	
γυιον	
γυιώσειν	lex17059.1_γυιόω
γυμνάζειν	lex17067.1_γυμνάζω
γυμναζόμεθα	lex17067.1_γυμνάζω
γυμναζόμενα	lex17067.1_γυμνάζω
γυμνικοὺς	lex17092.1_γυμνικός
γυμνικὸν	lex17092.1_γυμνικόςγυμνοὺς	lex17111.1_γυμνός
γυμνοῖς	lex17111.1_γυμνός lex17114.1_γυμνόω
γυμνὸν	lex17111.1_γυμνός
γυμνὸς	lex17111.1_γυμνός
γυναι	
γυναικ'	lex17115.1_γυνή
γυναικί	lex17115.1_γυνή
γυναικας	
γυναικας⁚	
γυναικεια	Αἴθρῃ	lex12239.1_αἴθρη lex194.1_Αἴθρη
Αἴσηπον	lex209.1_Αἴσηπος
Αἵαντος	
Αἵδην	
Αἵδης	
Αἵδου	
Αὐγέα	lex230.1_Αὐγέας lex12302.1_αὐγής
Αὐγέας	lex230.1_Αὐγέας lex12302.1_αὐγής
Αὐγέου	lex230.1_Αὐγέας
Αὐγαίου	γυναικειος	
γυναικείους	lex17126.1_γυναικεῖος
γυναικεῖον	lex17126.1_γυναικεῖος
γυναικιζομεναι	
γυναικοκρατεῖται	lex17139.1_γυναικοκρατέομαι lex17140.1_γυναικοκρατέω
γυναικομανής	lex17144.1_γυναικομανής
γυναικοπρόσωπος	lex17154.1_γυναικοπρόσωπος
γυναικος	
γυναικων	
γυναικωνίτιν	γυναικός	lex17115.1_γυνή
γυναικὶ	lex17115.1_γυνή
γυναικὸς	lex17115.1_γυνή
γυναικός	lex17115.1_γυνή
γυναικῶδες	lex17174.1_γυναικώδης
γυναικῶν	lex17173.1_γυναικόω lex17115.1_γυνή
γυναιμανὲς	lex17176.1_γυναιμανής
γυναιξίν	lex17115.1_γυνή
γυναιξὶ	lex17115.1_γυνή
γυναιξὶν	lex17115.1_γυνήγυναιξίν	lex17115.1_γυνή
γυναῖκα	lex17115.1_γυνή
γυναῖκας	lex17115.1_γυνή
γυναῖκες	lex17115.1_γυνή
γυνη	
γυνὴ	lex17115.1_γυνή
γυῖα	lex17217.1_γυῖον
γόνατα	lex17258.1_γόνυ
γόνον	lex17257.1_γόνος
γόνυ	lex17258.1_γόνυγόνω	lex17257.1_γόνος
γόοις	lex17259.1_γόος
γύαλον	lex17264.1_γύαλος lex17263.1_γύαλον
γύη	lex101988.1_ἐγγυάω lex17266.1_γύης1 lex17267.1_γύης2
γύην	lex17267.1_γύης2 lex17266.1_γύης1 lex101988.1_ἐγγυάω
γύοις	lex17278.1_γύος lex17277.1_γύον
γύψὶν	
γὰρ	lex15537.1_γάρ
γὰρ⁚	
γάλως	lex15522.1_γάλοωςγάμον	lex15527.1_γάμος
γάμου	lex15527.1_γάμος
γάμους	lex15527.1_γάμος
γάμων	lex15527.1_γάμος
γάνυσθαι	lex15531.1_γάνυμαι
γάρ	lex15537.1_γάρ
γέ	lex15916.1_γε
γέγονε	lex15628.1_γίγνομαι
γέγονεν	lex15628.1_γίγνομαι
γέγραφεν	lex16845.1_γράφωγέλοιον	lex15569.1_γέλοιος
γέλωτα	lex15572.1_γέλως
γένει	lex15587.1_γένος
γένητ	
γένηται	lex15628.1_γίγνομαι
γένναι	lex15584.1_γέννας lex15583.1_γέννα
γένοιτο	lex15628.1_γίγνομαι
γένοντο	lex15628.1_γίγνομαι
γένος	lex15587.1_γένος
γένωνται	lex15628.1_γίγνομαιγέρας	lex15597.1_γέρας
γέρον	lex15605.1_γέρων
γέροντας	lex15605.1_γέρων
γέροντες	lex15605.1_γέρων
γέρων	lex15605.1_γέρων
γέφυραν	lex15606.1_γέφυρα
γὴν	
γὴς	
γήμαντα	lex15783.1_γαμέω
γήρας	lex16296.1_γηράω lex16295.1_γηράσκω lex17295.1_γῆραςγήρως	lex17295.1_γῆρας
γίνεσθ	
γίνεσθαι	lex15628.1_γίγνομαι
γίνετ	
γίνεται	lex15628.1_γίγνομαι
γίνοιτο	lex15628.1_γίγνομαι
γίνοντ	
γίνονται	lex15628.1_γίγνομαι
γόνιμον	lex17256.1_γόνιμος
γόνυ	lex17258.1_γόνυγύαλα	lex17263.1_γύαλον
γύαλον	lex17264.1_γύαλος lex17263.1_γύαλον
γᾶρ	
γῆ	lex17292.1_γῆ lex1035.1_Γαῖα
γῆν	lex17292.1_γῆ lex1035.1_Γαῖα
γῆρας	lex17295.1_γῆρας
γῆρυς	lex17297.1_γῆρυς
γῆς	lex17292.1_γῆ lex1035.1_Γαῖα
γῇ	lex17292.1_γῆ lex1035.1_Γαῖα
δ	δ'	lex17379.1_δέ
δ'¨ἴαχε	
δ'αγόρευε	
δ'ἀπεκόσμεον	
δe	
δάκρυ	lex17318.1_δάκρυον
δάκρυα	lex17318.1_δάκρυον
δάκρυον	lex17861.1_δακρύω lex17318.1_δάκρυον
δάκτυλον	lex17319.1_δάκτυλος
δάκτυλος	lex17319.1_δάκτυλοςΑὐγείας	lex231.1_Αὐγείας
Αὐγείου	lex231.1_Αὐγείας
Αὐλίδι	lex245.1_Αὐλίς
Αὐλίδος	lex245.1_Αὐλίς
Αὐλὶς	lex245.1_Αὐλίς
Αὐλίδι	lex245.1_Αὐλίς
Αὐτομέδοντος	lex273.1_Αὐτομέδων
Αὐτομέδων	lex273.1_Αὐτομέδων
Αὐτομεδωντα	
Αὐτόμεδον	lex273.1_Αὐτομέδωνδάμασσε	lex17899.1_δαμάζω
δάμεν	lex17899.1_δαμάζω
δάνει	lex17334.1_δάνος
δάνειον	lex17332.1_δάνειον
δάπτω	lex17344.1_δάπτω lex17343.1_δάπτης
δάσεα	lex17363.1_δάσος
δάσειαν	
δάφναις	lex17370.1_δάφνη
δάφνην	lex17370.1_δάφνη
δάϊ	http://data.perseus.org/collections/_δάις2δάϊν	http://data.perseus.org/collections/_δάις2
δάϊς	lex17754.1_δαίς3
δέ	lex17379.1_δέ
δέδασται	lex18016.1_δατέομαι
δέδεικται	lex18078.1_δείκνυμι
δέδεκται	lex17456.1_δέχομαι
δέδεξο	lex17456.1_δέχομαι
δέδιεν	lex18072.1_δείδω
δέδωκα	lex17525.1_δίδωμι
δέει	lex17459.1_δέω1 lex17460.1_δέω2 lex17421.1_δέος lex18640.1_δεῖ lex17419.1_δέομαιδέελον	lex17384.1_δέελος lex23675.1_δῆλος
δέεμος	
δέεμὸς	
δέκα	lex18297.1_δεκάω lex17388.1_δέκα
δέκατος	lex17390.1_δέκατος
δέκτο	lex17456.1_δέχομαι
δέμας	lex17407.1_δέμας
δένδρα	lex17413.1_δένδρον
δένδρον	lex17413.1_δένδρον
δένδρῳ	lex17413.1_δένδρονδέξασθαι	lex18078.1_δείκνυμι lex17456.1_δέχομαι
δέξατο	lex17456.1_δέχομαι lex18078.1_δείκνυμι
δέξομαι	lex17456.1_δέχομαι lex18078.1_δείκνυμι
δέοι	lex17459.1_δέω1 lex18640.1_δεῖ lex17460.1_δέω2
δέον	lex17459.1_δέω1 lex17460.1_δέω2 lex17420.1_δέον lex18640.1_δεῖ
δέονται	lex17459.1_δέω1 lex17460.1_δέω2 lex17419.1_δέομαι
δέοντος	lex17459.1_δέω1 lex17460.1_δέω2 lex18640.1_δεῖ lex17420.1_δέον
δέος	lex17421.1_δέος
δέοσ	lex17421.1_δέος
δέους	lex17421.1_δέοςδέπας	lex17422.1_δέπας
δέπασσι	lex17422.1_δέπας
δέρας	lex17433.1_δέρος lex18218.1_δειρή
δέρμα	lex17429.1_δέρμα
δέρματι	lex17429.1_δέρμα
δέρματος	lex17429.1_δέρμα
δέρρα	
δέσοι	
δέσποτα	lex18571.1_δεσπότης
δέχας	δέχαται	lex17456.1_δέχομαι
δέχεσθαι	lex17456.1_δέχομαι
δέχεται	lex17456.1_δέχομαι
δέχθαι	lex17456.1_δέχομαι
δέχω	
δέω	lex18640.1_δεῖ lex17459.1_δέω1 lex17460.1_δέω2
δέῃ	lex17460.1_δέω2 lex17459.1_δέω1 lex17419.1_δέομαι lex18640.1_δεῖ
δή	lex17462.1_δή
δήεις	lex17482.1_δήω
δήετε	lex17482.1_δήωδήλωσιν	lex17469.1_δήλωσις
δήμια	lex17472.1_δήμιος
δήμου	lex23677.1_δῆμος
δήμους	lex23677.1_δῆμος
δήμῳ	lex23677.1_δῆμος
δήουσιν	lex17482.1_δήω
δήσαντε	lex17459.1_δέω1 lex17460.1_δέω2
δήσαντες	lex17460.1_δέω2 lex17459.1_δέω1
δήϊοι	lex17310.1_δάιος
δήϊος	lex17310.1_δάιοςδί	
δία	lex23684.1_δῖος
δίαιταν	lex17486.1_δίαιτα
δίακόπτεταί	
δίασταλτέον	
δίβραχυς	
δίδοσθαι	lex17525.1_δίδωμι
δίδοται	lex17525.1_δίδωμι
δίδου	lex17518.1_δίδημι lex17525.1_δίδωμι
δίδυμοι	lex17523.1_δίδυμοςδίδυμοσ	lex17523.1_δίδυμος
δίδωσι	lex17525.1_δίδωμι
δίδωσιν	lex17525.1_δίδωμι
δίεκδυσιν	
δίενται	lex17530.1_δίεμαι
δίεσαν	lex19156.1_διίημι lex17530.1_δίεμαι
δίεσθαι	lex17734.1_δίω lex17530.1_δίεμαι
δίεσταλκε	
δίετριβεν	
