'	lex112884.1_ἒ
'ἐπιμύει	
(132)	
(Hrd	
(Men	
(St	
(abbrev	
(abbreviation)	
(cf	
(fr	(p	
(sc	
(symbol)	
(Β	
(Γ	
(Ι	
(Ξ	
(πό)λις	
(τ	
(χ	392)	
καθείλκυσεν	lex29787.1_καθέλκω
καθείρξαντας	lex33404.1_κατείργω
καθεαυτὸ	
καθεδραν	
καθεζομένους	http://data.perseus.org/collections/_κατά-καθέζομαι http://data.perseus.org/collections/_κατά-ἕζομαι
καθεζόμενος	http://data.perseus.org/collections/_κατά-ἕζομαι http://data.perseus.org/collections/_κατά-καθέζομαι
καθεζόμε	καθεζόμενον	http://data.perseus.org/collections/_κατά-ἕζομαι http://data.perseus.org/collections/_κατά-καθέζομαι
καθεκτικῆς	lex29869.1_καθεκτικός
καθελκυσθῆναι	lex29787.1_καθέλκω
καθεστῶτα	lex29807.1_καθίστημι lex29879.1_καθεστῶτα
καθευδεν	
καθεύδει	lex29893.1_καθεύδω
καθεύδειν	lex29893.1_καθεύδω
καθεύδοντός	lex29893.1_καθεύδω
καθεώρων	lex29961.1_καθοράω
καθεῖργμαι	lex33404.1_κατείργωκαθεῦδε	lex29893.1_καθεύδω
καθημαξευμένα	http://data.perseus.org/collections/_κατά-ἁμαξεύω
καθημένων	lex29201.1_κάθημαι
καθησο	
καθιζε	
καθικόντων	lex29927.1_καθικνέομαι
καθοδηγῷ	lex29946.1_καθοδηγός
καθολικώτερον	lex29948.1_καθολικός
καθολικὸν	lex29948.1_καθολικός
καθολικὸς	lex29948.1_καθολικόςΖεὺς	lex2415.1_Ζεύς
Ζεύ	
Ζεύς	lex2415.1_Ζεύς
Ζεῦ	lex26684.1_ζέω lex2415.1_Ζεύς
Ζεῦς	
Ζηνoδ	
Ζηνoδοτ	
Ζηνδ	
Ζηνοδ	
Ζηνοδοτ	καθολικῆς	lex29948.1_καθολικός
καθολικῶς	lex29948.1_καθολικός
καθολου	
καθοπλίζεται	lex29958.1_καθοπλίζω
καθοπλίζονται	lex29958.1_καθοπλίζω
καθοπλίσας	lex29958.1_καθοπλίζω
καθοπλίσηται	lex29958.1_καθοπλίζω
καθοπλίζεσθαι	lex29958.1_καθοπλίζω
καθορᾶν	lex29961.1_καθοράω
καθυπέρτεραι	lex29981.1_καθυπέρτεροςκαθυπογράφει	http://data.perseus.org/collections/_κατά-ὑπογράφω
καθόλου	lex30010.1_καθόλου
καθότι	lex30016.1_καθότι
καθύγρους	lex29210.1_κάθυγρος
καθώπλιστο	lex29958.1_καθοπλίζω
καθὃ	
καθὅτι	
καθὰ	lex29768.1_καθά
καθάπερ	lex29768.1_καθά
καθάπτει	lex29772.1_καθάπτωκαθὲν	lex29788.1_καθέν lex29802.1_καθίημι
καθέδραν	lex29783.1_καθέδρα
καθέδρας	lex29783.1_καθέδρα
καθέζεσθαι	http://data.perseus.org/collections/_κατά-ἕζομαι http://data.perseus.org/collections/_κατά-καθέζομαι
καθέζονται	http://data.perseus.org/collections/_κατά-ἕζομαι http://data.perseus.org/collections/_κατά-καθέζομαι
καθήμενοι	lex29201.1_κάθημαι
καθὸ	lex30008.1_καθό
καθόλου	lex30010.1_καθόλου
καθύδρου	lex29211.1_κάθυδρος
καθύδρῳ	lex29211.1_κάθυδροςκαθὼς	lex30021.1_καθώς
καθῆκον	lex29795.1_καθήκω
καθῆναι	http://data.perseus.org/collections/_κατά-κάθημαι
καθῆσαι	
καθῆστο	lex29201.1_κάθημαι
καθῶς	
και	
καιέτωσαν	lex29728.1_καίω
καιε	
καινουργίους	lex30071.1_καινούργιοςκαινὰ	lex30075.1_καινός
καιομένους	lex29728.1_καίω
καιον	
καιρον	
καιροῖς	lex30100.1_καιρός lex30102.1_καιρόω
καιροῦ	lex30100.1_καιρός lex30102.1_καιρόω
καιρω	
καιρίως	lex29723.1_καίριος
καιρὸν	lex30100.1_καιρός
καιρὸς	lex30100.1_καιρόςκαιρόν	lex30100.1_καιρός
καιρῶ	lex30100.1_καιρός lex30102.1_καιρόω
καιρῷ	lex30100.1_καιρός
καιόμενον	lex29728.1_καίω
καιόμενος	lex29728.1_καίω
καιόμενον	lex29728.1_καίω
κακ	
κακ'	lex30456.1_κακός
κακά	lex30456.1_κακός
κακα	κακείνοις	
κακεῖ	
κακεῖθεν	
κακεῖνα	
κακεῖνος	
κακεῖσαι	
κακεῖσε	
κακη	
κακκείοντες	lex31551.1_κατάκειμαι
κακκελέχεες	κακκεῖαι	lex30151.1_κακκάω lex32203.1_κατακαίω
κακοήθως	lex30160.1_κακοήθης
κακοήχου	lex30410.1_κακόηχος
κακολογήσας	lex30247.1_κακολογέω
κακομήχανε	lex30256.1_κακομήχανος
κακον	
κακοπ	
κακοπίαστος	
κακοπαθ	
κακοπαθήσειν	lex30283.1_κακοπαθέωκακοπαθίας	lex30285.1_κακοπαθία lex30280.1_κακοπάθεια
κακοπαθείας	lex30280.1_κακοπάθεια
κακοπαθείᾳ	lex30280.1_κακοπάθεια
κακοπαθείας	lex30280.1_κακοπάθεια
κακοπαθεῖν	lex30283.1_κακοπαθέω
κακοπαθιας	
κακοπαθουντας	
κακοπαθῆσαι	lex30283.1_κακοπαθέω
κακοσυνθτ	
κακοσύνθετος	lex30342.1_κακοσύνθετοςκακοφωνίᾳ	lex30382.1_κακοφωνία
κακοΐλιον	
κακοῖς	lex30456.1_κακός lex30485.1_κακόω
κακοῦ	lex30485.1_κακόω lex30456.1_κακός
κακόμαντι	lex30423.1_κακόμαντις
κακόν	lex30456.1_κακός
κακόνας	
κακός	lex30456.1_κακός
κακόφρονος	lex30481.1_κακόφρων
κακόφωνόν	lex30482.1_κακόφωνοςΖηνοδοτείῳ	lex2424.1_Ζηνοδότειος
Ζηνοδοτειον	
Ζηνοδοτειος	
Ζηνοδοτον	
Ζηνοδοτος	
Ζηνοδοτου	
Ζηνοδότειος	lex2424.1_Ζηνοδότειος
Ζηνοδότιος	
Ζηνοδότου	lex2430.1_Ζηνόδοτος
Ζηνοδότω	lex2430.1_Ζηνόδοτοςκακώσειεν	lex30485.1_κακόω
κακώσεως	lex29231.1_κάκωσις
κακὰ	lex30456.1_κακός
κακὰς	lex30456.1_κακός
κακὲ	lex30456.1_κακός
